paradigm,subject,fold,permute_k,split,calib_size,seed,n_half_a,n_half_b,baseline_a,baseline_b,adapted_b,delta_b
mi,105,version_29,8,stratified,100,44,67,67,0.573170731707317,0.6557223264540337,0.6106941838649156,-0.045028142589118136
mi,105,version_29,8,stratified,100,45,67,67,0.6388367729831144,0.572232645403377,0.599437148217636,0.027204502814259013
mi,105,version_29,8,stratified,100,46,67,67,0.6519699812382739,0.7176360225140712,0.5590994371482176,-0.15853658536585358
mi,105,version_29,8,stratified,200,42,17,17,0.5714285714285714,0.6060606060606061,0.6818181818181819,0.0757575757575758
mi,105,version_29,8,stratified,200,43,17,17,0.5857142857142857,0.6363636363636364,0.7272727272727273,0.09090909090909094
mi,105,version_29,8,stratified,200,44,17,17,0.42857142857142855,0.6212121212121212,0.8181818181818181,0.1969696969696969
mi,105,version_29,8,stratified,200,45,17,17,0.5151515151515151,0.7714285714285714,0.6714285714285715,-0.09999999999999987
mi,105,version_29,8,stratified,200,46,17,17,0.803030303030303,0.7714285714285714,0.7285714285714285,-0.042857142857142816
mi,105,version_29,17,stratified,10,42,112,112,0.6747556454330974,0.7064374789349511,0.8584428715874621,0.152005392652511
mi,105,version_29,17,stratified,10,43,112,112,0.6740815638692281,0.688237276710482,0.6215032018874284,-0.0667340748230536
mi,105,version_29,17,stratified,10,44,112,112,0.694304010785305,0.6568924839905628,0.6568924839905629,1.1102230246251565e-16
mi,105,version_29,17,stratified,10,45,112,112,0.6788001348163129,0.7013818672059319,0.6939669700033704,-0.007414897202561499
mi,105,version_29,17,stratified,10,46,112,112,0.6777890124705089,0.6966632962588474,0.6417256488035052,-0.05493764745534213
mi,105,version_29,17,stratified,50,42,92,92,0.7177579365079366,0.6761904761904762,0.7533834586466166,0.07719298245614037
mi,105,version_29,17,stratified,50,43,92,92,0.7237103174603174,0.6802005012531328,0.805513784461153,0.12531328320802015
mi,105,version_29,17,stratified,50,44,92,92,0.6493055555555556,0.7162907268170426,0.7989974937343358,0.08270676691729317
mi,105,version_29,17,stratified,50,45,92,92,0.6984126984126984,0.7097744360902256,0.8145363408521302,0.10476190476190461
mi,105,version_29,17,stratified,50,46,92,92,0.7619047619047619,0.68671679197995,0.7528822055137845,0.06616541353383454
mi,105,version_29,17,stratified,100,42,67,67,0.6463414634146342,0.7073170731707318,0.7814258911819888,0.07410881801125702
mi,105,version_29,17,stratified,100,43,67,67,0.722326454033771,0.7148217636022515,0.8142589118198875,0.09943714821763605
mi,105,version_29,17,stratified,100,44,67,67,0.7692307692307693,0.722326454033771,0.7908067542213884,0.0684803001876173
mi,105,version_29,17,stratified,100,45,67,67,0.7833020637898687,0.6838649155722326,0.7101313320825516,0.026266416510319024
