paradigm,subject,fold,permute_k,split,calib_size,seed,n_half_a,n_half_b,baseline_a,baseline_b,adapted_b,delta_b
als,1,version_34,0,stratified,48,45,2076,2076,0.5551889471749808,0.5630817935781349,0.462999097864947,-0.10008269571318795
als,1,version_34,0,stratified,48,46,2076,2076,0.553848274249056,0.5570717364429149,0.5042500584717164,-0.05282167797119841
als,1,version_34,0,stratified,96,42,2052,2052,0.544957422796758,0.5636153004343216,0.5505557265483397,-0.01305957388598189
als,1,version_34,0,stratified,96,43,2052,2052,0.5632741698300332,0.5522511200027359,0.5062378167641326,-0.04601330323860331
als,1,version_34,0,stratified,96,44,2052,2052,0.5638521254403065,0.5427088676857836,0.5428268527068157,0.00011798502103210762
als,1,version_34,0,stratified,96,45,2052,2052,0.5656236106836291,0.5513405834273793,0.49784378099244214,-0.05349680243493721
als,1,version_34,0,stratified,96,46,2052,2052,0.5407954584316541,0.5682620293423618,0.5228258267501111,-0.045436202592250674
als,1,version_34,0,stratified,240,42,1980,1980,0.5425068870523416,0.5672635445362718,0.5315831037649219,-0.03568044077134991
als,1,version_34,0,stratified,240,43,1980,1980,0.5492240587695134,0.5573250688705234,0.5439467401285584,-0.013378328741964984
als,1,version_34,0,stratified,240,44,1980,1980,0.5555509641873279,0.5498989898989899,0.5258751147842058,-0.0240238751147841
als,1,version_34,0,stratified,240,45,1980,1980,0.5411919191919192,0.5747640036730945,0.5087245179063361,-0.06603948576675844
als,1,version_34,0,stratified,240,46,1980,1980,0.5459127640036731,0.5573921028466483,0.5465105601469238,-0.010881542699724522
als,1,version_34,0,stratified,480,42,1860,1860,0.5298990634755464,0.5778324661810613,0.5363350676378772,-0.04149739854318413
als,1,version_34,0,stratified,480,43,1860,1860,0.5427596253902185,0.5588720083246618,0.5688428720083246,0.009970863683662845
als,1,version_34,0,stratified,480,44,1860,1860,0.5490135275754423,0.5502455775234131,0.5493444328824142,-0.0009011446409988855
als,1,version_34,0,stratified,480,45,1860,1860,0.5634797086368366,0.5559209157127991,0.5385463059313216,-0.017374609781477535
als,1,version_34,0,stratified,480,46,1860,1860,0.549687825182102,0.5504016649323621,0.5518657648283039,0.0014640998959417617
als,1,version_35,0,stratified,24,42,2088,2088,0.5441174527678689,0.5441736028537455,0.5282220240454485,-0.015951578808297007
als,1,version_35,0,stratified,24,43,2088,2088,0.5466524639978861,0.5440646056282203,0.48705079931298717,-0.05701380631523317
als,1,version_35,0,stratified,24,44,2088,2088,0.5557669441141498,0.530314440480909,0.5258950984277976,-0.0044193420531114525
als,1,version_35,0,stratified,24,45,2088,2088,0.5534367155502709,0.5400796010040957,0.46058841987052446,-0.07949118113357123
als,1,version_35,0,stratified,24,46,2088,2088,0.5691042409829568,0.5212395957193817,0.47444180208746206,-0.04679779363191966
als,1,version_35,0,stratified,48,42,2076,2076,0.5457382471850045,0.5433609542584116,0.5247702896855893,-0.018590664572822324
als,1,version_35,0,stratified,48,43,2076,2076,0.5404808045708176,0.5503458184369675,0.47610845668081125,-0.07423736175615625
als,1,version_35,0,stratified,48,44,2076,2076,0.5501704032877811,0.5338534531725083,0.5431170436700191,0.009263590497510799
als,1,version_35,0,stratified,48,45,2076,2076,0.5390641184135788,0.5562731798589997,0.4611254970095894,-0.09514768284941033
als,1,version_35,0,stratified,48,46,2076,2076,0.5462360920846002,0.5398843930635838,0.49769537906378436,-0.04218901399979946
als,1,version_35,0,stratified,96,42,2052,2052,0.522818987038747,0.5627423822714681,0.5493844259772237,-0.01335795629424441
als,1,version_35,0,stratified,96,43,2052,2052,0.5402927396463869,0.5488150200061557,0.4836855784685886,-0.06512944153756706
als,1,version_35,0,stratified,96,44,2052,2052,0.5543893847679628,0.5289302691426422,0.534041243459526,0.005110974316883787
als,1,version_35,0,stratified,96,45,2052,2052,0.5555128073595293,0.5374850381313909,0.48369754796347597,-0.05378749016791495
als,1,version_35,0,stratified,96,46,2052,2052,0.5204934851749257,0.5640727061318012,0.5184176327758968,-0.04565507335590435
als,1,version_35,0,stratified,240,42,1980,1980,0.5430376492194674,0.547801652892562,0.5575096418732781,0.00970798898071612
als,1,version_35,0,stratified,240,43,1980,1980,0.5511808999081727,0.530337924701561,0.5017887970615243,-0.028549127640036698
als,1,version_35,0,stratified,240,44,1980,1980,0.5448448117539026,0.539823691460055,0.5299449035812672,-0.00987878787878782
als,1,version_35,0,stratified,240,45,1980,1980,0.5307933884297521,0.564139577594123,0.4674416896235078,-0.09669788797061524
als,1,version_35,0,stratified,240,46,1980,1980,0.5238034894398531,0.5521432506887053,0.5322552800734619,-0.01988797061524339
als,1,version_35,0,stratified,480,42,1860,1860,0.5270489073881374,0.5655920915712799,0.5471071800208117,-0.018484911550468164
als,1,version_35,0,stratified,480,43,1860,1860,0.5245098855359001,0.5482559833506764,0.5315671175858481,-0.01668886576482831
als,1,version_35,0,stratified,480,44,1860,1860,0.5420686784599376,0.5459167533818938,0.5355993756503642,-0.010317377731529631
als,1,version_35,0,stratified,480,45,1860,1860,0.5579188345473465,0.5411696149843913,0.4631508844953174,-0.07801873048907393
als,1,version_35,0,stratified,480,46,1860,1860,0.540624349635796,0.5330468262226847,0.5158459937565036,-0.017200832466181093
als,1,version_36,0,stratified,24,42,2088,2088,0.5495070352754657,0.5643331351565597,0.5179944510503369,-0.04633868410622277
als,1,version_36,0,stratified,24,43,2088,2088,0.55456054300436,0.563337296868807,0.45621119038182056,-0.1071261064869864
als,1,version_36,0,stratified,24,44,2088,2088,0.5663231602589509,0.5438589972255252,0.5327586206896552,-0.011100376535870038
als,1,version_36,0,stratified,24,45,2088,2088,0.557558792442859,0.5602201413660985,0.4393579072532699,-0.12086223411282865
als,1,version_36,0,stratified,24,46,2088,2088,0.5770445237151539,0.5400878583696658,0.4626585414189457,-0.07742931695072008
als,1,version_36,0,stratified,48,42,2076,2076,0.5621337164622942,0.5534807377459988,0.4965342978382171,-0.0569464399077817
als,1,version_36,0,stratified,48,43,2076,2076,0.5605792041164088,0.5583965384743894,0.44222994420127637,-0.11616659427311304
als,1,version_36,0,stratified,48,44,2076,2076,0.5602467506431887,0.5492983394032543,0.5311787898025326,-0.018119549600721707
als,1,version_36,0,stratified,48,45,2076,2076,0.5513866149888068,0.5675515386414515,0.4642052858431621,-0.10334625279828935
als,1,version_36,0,stratified,48,46,2076,2076,0.5627359751411674,0.5496458284606903,0.5045708176016572,-0.04507501085903309
als,1,version_36,0,stratified,96,42,2052,2052,0.5489398447385521,0.5665991245169453,0.5228446359563627,-0.043754488560582616
als,1,version_36,0,stratified,96,43,2052,2052,0.5618352655517936,0.557562155877022,0.45332922950651483,-0.10423292637050713
als,1,version_36,0,stratified,96,44,2052,2052,0.5662579939126569,0.5418436441982148,0.5332170582401422,-0.008626585958072641
als,1,version_36,0,stratified,96,45,2052,2052,0.5688160459628604,0.5492869600902842,0.5032454430423036,-0.04604151704798065
als,1,version_36,0,stratified,96,46,2052,2052,0.5357759652542663,0.5753821688724736,0.5250333435929003,-0.050348825279573295
als,1,version_36,0,stratified,240,42,1980,1980,0.5468145087235996,0.572078971533517,0.488961432506887,-0.08311753902662994
als,1,version_36,0,stratified,240,43,1980,1980,0.5575583103764922,0.5525050505050504,0.5340606060606061,-0.018444444444444263
als,1,version_36,0,stratified,240,44,1980,1980,0.5472011019283747,0.5596914600550964,0.5219136822773186,-0.0377777777777778
als,1,version_36,0,stratified,240,45,1980,1980,0.5379292929292929,0.5807842056932966,0.5128943985307621,-0.06788980716253445
als,1,version_36,0,stratified,240,46,1980,1980,0.5526721763085399,0.5533682277318641,0.5392378328741965,-0.01413039485766765
als,1,version_36,0,stratified,480,42,1860,1860,0.5438043704474506,0.5781290322580646,0.4976441207075963,-0.08048491155046827
als,1,version_36,0,stratified,480,43,1860,1860,0.5357752341311134,0.5690530697190426,0.5537637877211239,-0.01528928199791868
als,1,version_36,0,stratified,480,44,1860,1860,0.5547107180020812,0.5512445369406869,0.5286035379812695,-0.022640998959417402
als,1,version_36,0,stratified,480,45,1860,1860,0.5668168574401664,0.5571092611862642,0.5104453694068678,-0.04666389177939645
als,1,version_36,0,stratified,480,46,1860,1860,0.54954110301769,0.5516899063475547,0.5417086368366285,-0.00998126951092615
als,1,version_37,0,stratified,24,42,2088,2088,0.5560105363984674,0.5711157352358304,0.5586644536926938,-0.012451281543136572
als,1,version_37,0,stratified,24,43,2088,2088,0.5626098229620822,0.5690084555423438,0.5071145461751883,-0.06189390936715555
als,1,version_37,0,stratified,24,44,2088,2088,0.5810840269520412,0.5455905667855727,0.5244946492271105,-0.021095917558462185
als,1,version_37,0,stratified,24,45,2088,2088,0.5637666798784515,0.5691595653322764,0.4339708019553442,-0.1351887633769322
als,1,version_37,0,stratified,24,46,2088,2088,0.578638195270181,0.552140309155767,0.5118773946360153,-0.040262914519751614
als,1,version_37,0,stratified,48,42,2076,2076,0.5679123926626348,0.5608456680811253,0.5474155501353202,-0.013430117945805176
als,1,version_37,0,stratified,48,43,2076,2076,0.560228373818036,0.5729593370977981,0.47055865548464704,-0.10240068161315108
als,1,version_37,0,stratified,48,44,2076,2076,0.5724347622707073,0.5521617828861639,0.53554579170704,-0.016615991179123935
als,1,version_37,0,stratified,48,45,2076,2076,0.5589670553643623,0.5752597814828428,0.4577834207624712,-0.11747636072037165
als,1,version_37,0,stratified,48,46,2076,2076,0.576908683885195,0.5496992883156805,0.51793912259013,-0.031760165725550515
als,1,version_37,0,stratified,96,42,2052,2052,0.5526298690195274,0.5744784720084812,0.5392599432303957,-0.03521852877808551
als,1,version_37,0,stratified,96,43,2052,2052,0.5691717109537977,0.5630065661229096,0.48341028008618037,-0.07959628603672919
als,1,version_37,0,stratified,96,44,2052,2052,0.5656663588796553,0.5579434697855751,0.5462398686775418,-0.011703601108033257
als,1,version_37,0,stratified,96,45,2052,2052,0.5814011148729523,0.5543167128347184,0.4865992955097295,-0.06771741732498887
